POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,David Warner,14,14,3,641,126,58.27,452,141.81,1,4,63,26
2,Gautam Gambhir,16,16,4,498,76*,41.5,389,128.02,0,4,61,7
3,Shikhar Dhawan,14,14,1,479,77,36.84,376,127.39,0,3,53,9
4,Steve Smith,15,15,3,472,84*,39.33,387,121.96,0,3,38,12
5,Suresh Raina,14,14,3,442,84,40.18,307,143.97,0,3,42,13
6,Hashim Amla,10,10,3,420,104*,60.0,288,145.83,2,2,40,17
7,Manish Pandey,14,13,5,396,81*,49.5,308,128.57,0,2,28,12
8,Parthiv Patel,16,16,0,395,70,24.68,293,134.81,0,2,49,8
9,Rahul Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,43,17
10,Robin Uthappa,14,13,0,388,87,29.84,235,165.1,0,5,36,21
11,Sanju Samson,14,14,0,386,102,27.57,273,141.39,1,2,32,19
12,Kieron Pollard,17,16,3,385,70,29.61,276,139.49,0,3,26,22
13,Ajinkya Rahane,16,16,1,382,60,25.46,323,118.26,0,2,35,9
14,Rishabh Pant,14,14,0,366,97,26.14,221,165.61,0,2,28,24
15,Dinesh Karthik,14,13,3,361,65,36.1,259,139.38,0,2,30,11
16,Shreyas Iyer,12,12,2,338,96,33.8,243,139.09,0,2,36,10
17,Nitish Rana,13,12,1,333,62*,30.27,264,126.13,0,3,24,17
18,Rohit Sharma,17,16,2,333,67,23.78,273,121.97,0,3,31,9
19,Manoj Tiwary,15,13,3,324,60,32.4,236,137.28,0,2,31,11
20,Brendon McCullum,11,11,0,319,72,29.0,217,147.0,0,2,29,18
